Number | ALT+X | ALT+0X
-------+-------+---------
  0    |       |    
  1    |   ☺   |    
  2    |   ☻   |    
  3    |   ♥   |    
  4    |   ♦   |    
  5    |   ♣   |    
  6    |   ♠   |    
  7    |   •   |    
  8    |   ◘   |    
  9    |   ○   |    <TAB>
 10    |   ◙   |    <CR>
 11    |   ♂   |    
 12    |   ♀   |    
 13    |   ♪   |    <LF>
 14    |   ♫   |    
 15    |   ☼   |    
 16    |   ►   |    
 17    |   ◄   |    
 18    |   ↕   |    
 19    |   ‼   |    
 20    |   ¶   |    
 21    |   §   |    
 22    |   ▬   |    
 23    |   ↨   |    
 24    |   ↑   |    
 25    |   ↓   |    
 26    |   →   |    
 27    |   ←   |    
 28    |   ∟   |    
 29    |   ↔   |    
 30    |   ▲   |    
 31    |   ▼   |    
 32    | <SPC> |  <SPC>
 33    |   !   |    !
 34    |   "   |    "
 35    |   #   |    #
 36    |   $   |    $
 37    |   %   |    %
 38    |   &   |    &
 39    |   '   |    '
 40    |   (   |    (
 41    |   )   |    )
 42    |   *   |    *
 43    |   +   |    +
 44    |   ,   |    ,
 45    |   -   |    -
 46    |   .   |    .
 47    |   /   |    /
 48    |   0   |    0
 49    |   1   |    1
 50    |   2   |    2
 51    |   3   |    3
 52    |   4   |    4
 53    |   5   |    5
 54    |   6   |    6
 55    |   7   |    7
 56    |   8   |    8
 57    |   9   |    9
 58    |   :   |    :
 59    |   ;   |    ;
 60    |   <   |    <
 61    |   =   |    =
 62    |   >   |    >
 63    |   ?   |    ?
 64    |   @   |    @
 65    |   A   |    A
 66    |   B   |    B
 67    |   C   |    C
 68    |   D   |    D
 69    |   E   |    E
 70    |   F   |    F
 71    |   G   |    G
 72    |   H   |    H
 73    |   I   |    I
 74    |   J   |    J
 75    |   K   |    K
 76    |   L   |    L
 77    |   M   |    M
 78    |   N   |    N
 79    |   O   |    O
 80    |   P   |    P
 81    |   Q   |    Q
 82    |   R   |    R
 83    |   S   |    S
 84    |   T   |    T
 85    |   U   |    U
 86    |   V   |    V
 87    |   W   |    W
 88    |   X   |    X
 89    |   Y   |    Y
 90    |   Z   |    Z
 91    |   [   |    [
 92    |   \   |    \
 93    |   ]   |    ]
 94    |   ^   |    ^
 95    |   _   |    _
 96    |   `   |    `
 97    |   a   |    a
 98    |   b   |    b
 99    |   c   |    c
100    |   d   |    d
101    |   e   |    e
102    |   f   |    f
103    |   g   |    g
104    |   h   |    h
105    |   i   |    i
106    |   j   |    j
107    |   k   |    k
108    |   l   |    l
109    |   m   |    m
110    |   n   |    n
111    |   o   |    o
112    |   p   |    p
113    |   q   |    q
114    |   r   |    r
115    |   s   |    s
116    |   t   |    t
117    |   u   |    u
118    |   v   |    v
119    |   w   |    w
120    |   x   |    x
121    |   y   |    y
122    |   z   |    z
123    |   {   |    {
124    |   |   |    |
125    |   }   |    }
126    |   ~   |    ~
127    |   ⌂   |    
128    |   Ç   |    €
129    |   ü   |    
130    |   é   |    ‚
131    |   â   |    ƒ
132    |   ä   |    „
133    |   à   |    …
134    |   å   |    †
135    |   ç   |    ‡
136    |   ê   |    ˆ
137    |   ë   |    ‰
138    |   è   |    Š
139    |   ï   |    ‹
140    |   î   |    Œ
141    |   ì   |    
142    |   Ä   |    Ž
143    |   Å   |    
144    |   É   |    
145    |   æ   |    ‘
146    |   Æ   |    ’
147    |   ô   |    “
148    |   ö   |    ”
149    |   ò   |    •
150    |   û   |    –
151    |   ù   |    —
152    |   ÿ   |    ˜
153    |   Ö   |    ™
154    |   Ü   |    š
155    |   ¢   |    ›
156    |   £   |    œ
157    |   ¥   |    
158    |   ₧   |    ž
159    |   ƒ   |    Ÿ
160    |   á   |     
161    |   í   |    ¡
162    |   ó   |    ¢
163    |   ú   |    £
164    |   ñ   |    ¤
165    |   Ñ   |    ¥
166    |   ª   |    ¦
167    |   º   |    §
168    |   ¿   |    ¨
169    |   ⌐   |    ©
170    |   ¬   |    ª
171    |   ½   |    «
172    |   ¼   |    ¬
173    |   ¡   |    ­
174    |   «   |    ®
175    |   »   |    ¯
176    |   ░   |    °
177    |   ▒   |    ±
178    |   ▓   |    ²
179    |   │   |    ³
180    |   ┤   |    ´
181    |   ╡   |    µ
182    |   ╢   |    ¶
183    |   ╖   |    ·
184    |   ╕   |    ¸
185    |   ╣   |    ¹
186    |   ║   |    º
187    |   ╗   |    »
188    |   ╝   |    ¼
189    |   ╜   |    ½
190    |   ╛   |    ¾
191    |   ┐   |    ¿
192    |   └   |    À
193    |   ┴   |    Á
194    |   ┬   |    Â
195    |   ├   |    Ã
196    |   ─   |    Ä
197    |   ┼   |    Å
198    |   ╞   |    Æ
199    |   ╟   |    Ç
200    |   ╚   |    È
201    |   ╔   |    É
202    |   ╩   |    Ê
203    |   ╦   |    Ë
204    |   ╠   |    Ì
205    |   ═   |    Í
206    |   ╬   |    Î
207    |   ╧   |    Ï
208    |   ╨   |    Ð
209    |   ╤   |    Ñ
210    |   ╥   |    Ò
211    |   ╙   |    Ó
212    |   ╘   |    Ô
213    |   ╒   |    Õ
214    |   ╓   |    Ö
215    |   ╫   |    ×
216    |   ╪   |    Ø
217    |   ┘   |    Ù
218    |   ┌   |    Ú
219    |   █   |    Û
220    |   ▄   |    Ü
221    |   ▌   |    Ý
222    |   ▐   |    Þ
223    |   ▀   |    ß
224    |   α   |    à
225    |   ß   |    á
226    |   Γ   |    â
227    |   π   |    ã
228    |   Σ   |    ä
229    |   σ   |    å
230    |   µ   |    æ
231    |   τ   |    ç
232    |   Φ   |    è
233    |   Θ   |    é
234    |   Ω   |    ê
235    |   δ   |    ë
236    |   ∞   |    ì
237    |   φ   |    í
238    |   ε   |    î
239    |   ∩   |    ï
240    |   ≡   |    ð
241    |   ±   |    ñ
242    |   ≥   |    ò
243    |   ≤   |    ó
244    |   ⌠   |    ô
245    |   ⌡   |    õ
246    |   ÷   |    ö
247    |   ≈   |    ÷
248    |   °   |    ø
249    |   ∙   |    ù
250    |   ·   |    ú
251    |   √   |    û
252    |   ⁿ   |    ü
253    |   ²   |    ý
254    |   ■   |    þ
255    |       |    ÿ
